width	depth	height	tilt	instances
42	50	90	TRUE	3
42	50	90	TRUE	3
42	50	90	TRUE	2
125	90	90	TRUE	2
160	90	90	TRUE	2
200	95	95	TRUE	2
150	90	90	TRUE	2
90	60	90	TRUE	3
130	90	90	TRUE	3
150	90	90	TRUE	2
215	90	90	TRUE	3
150	90	90	TRUE	3
150	90	90	TRUE	3
160	90	90	TRUE	3
200	95	95	TRUE	3
200	95	95	TRUE	3
205	95	90	TRUE	3
125	90	90	TRUE	3
150	90	90	TRUE	3
200	95	95	TRUE	3
135	90	90	TRUE	3
150	90	90	TRUE	3
205	95	90	TRUE	3
42	50	90	TRUE	3
125	90	90	TRUE	2
160	90	90	TRUE	2
105	90	90	TRUE	4
150	90	90	TRUE	4
60	45	90	TRUE	3
60	55	90	TRUE	3
85	65	95	TRUE	4
42	50	90	TRUE	4
170	80	80	TRUE	3
125	90	90	TRUE	3
155	90	90	TRUE	3
205	95	90	TRUE	3
160	72	220	TRUE	3
160	72	220	TRUE	3
185	80	210	TRUE	3
180	72	220	TRUE	3
200	72	220	TRUE	3
223	225	77	TRUE	3
140	72	220	TRUE	3
140	72	220	TRUE	3
140	72	220	TRUE	3
160	72	220	TRUE	3
75	90	90	TRUE	4
105	90	90	TRUE	4
90	60	90	TRUE	4
150	90	90	TRUE	2
105	90	90	TRUE	2
42	50	90	TRUE	2
42	50	90	TRUE	3
65	45	90	TRUE	4
60	45	90	TRUE	5
60	65	90	TRUE	5
65	65	90	TRUE	4
60	45	90	TRUE	2
60	55	90	TRUE	3
90	60	90	TRUE	2
75	90	90	TRUE	3
125	90	90	TRUE	3
40	50	90	TRUE	1
42	50	90	TRUE	2
90	45	50	TRUE	3
50	90	40	TRUE	5
42	50	90	TRUE	5
60	65	90	TRUE	3
80	90	90	TRUE	2
105	90	90	TRUE	2
42	50	90	TRUE	2
40	50	90	TRUE	2
60	55	90	TRUE	2
42	50	90	TRUE	3
65	65	90	TRUE	2
75	90	90	TRUE	2
90	50	40	TRUE	1
40	50	90	TRUE	4
60	65	90	TRUE	3
75	90	90	TRUE	2
90	85	85	TRUE	2
42	50	90	TRUE	2
60	45	90	TRUE	3
90	60	90	TRUE	2
105	90	90	TRUE	2
42	50	90	TRUE	2
60	45	90	TRUE	2
80	90	90	TRUE	3
105	90	90	TRUE	3
150	90	90	TRUE	1
125	90	90	TRUE	2
40	50	90	TRUE	2
42	50	90	TRUE	3
60	65	90	TRUE	3
60	45	90	TRUE	2
60	65	90	TRUE	2
42	50	90	TRUE	2
60	45	90	TRUE	2
80	90	90	TRUE	2
255	95	90	TRUE	2
42	50	90	TRUE	3
60	65	90	TRUE	3
40	50	90	TRUE	4
60	45	90	TRUE	3
60	65	90	TRUE	2
90	80	90	TRUE	3
75	90	90	TRUE	2
90	60	90	TRUE	6
105	95	85	TRUE	2
100	90	90	TRUE	2
42	50	90	TRUE	2
40	50	90	TRUE	2
42	50	90	TRUE	3
85	60	45	TRUE	3
40	50	90	TRUE	3
60	55	90	TRUE	3
90	60	90	TRUE	2
40	50	90	TRUE	1
42	50	90	TRUE	2
42	50	90	TRUE	2
40	50	90	TRUE	3
60	45	90	TRUE	3
90	60	90	TRUE	3
80	90	90	TRUE	5
125	90	90	TRUE	3
60	65	90	TRUE	2
110	95	85	TRUE	4
200	90	90	TRUE	1
150	90	90	TRUE	1
42	50	90	TRUE	3
40	50	90	TRUE	3
42	50	90	TRUE	3
60	55	90	TRUE	2
40	50	90	TRUE	3
42	50	90	TRUE	3
42	50	90	TRUE	4
65	55	90	TRUE	3
42	50	90	TRUE	4
90	40	50	TRUE	5
65	45	90	TRUE	3
60	55	90	TRUE	4
60	55	90	TRUE	3
90	60	90	TRUE	3
105	90	90	TRUE	3
90	90	60	TRUE	3
90	100	90	TRUE	2
60	65	90	TRUE	2
80	120	10	TRUE	3
80	120	10	TRUE	3
105	95	85	TRUE	3
80	120	10	TRUE	3
42	50	90	TRUE	5
45	45	90	TRUE	5
46	40	90	TRUE	2
42	50	90	TRUE	2
42	50	90	TRUE	2
46	40	90	TRUE	2
60	45	90	TRUE	2
42	50	90	TRUE	5
60	45	90	TRUE	3
90	80	90	TRUE	3
42	50	90	TRUE	2
50	42	90	TRUE	5
42	50	90	TRUE	5
42	50	90	TRUE	3
60	45	90	TRUE	3
50	90	40	TRUE	2
42	50	90	TRUE	2
60	45	90	TRUE	2
105	90	90	TRUE	2
125	90	90	TRUE	2
182	83	25	TRUE	1
180	85	35	TRUE	1
184	80	35	TRUE	1
135	60	25	TRUE	1
40	75	115	TRUE	1
40	80	115	TRUE	1
145	145	85	TRUE	1
145	145	95	TRUE	1
130	140	150	TRUE	1
60	55	90	TRUE	2
90	60	90	TRUE	2
60	65	90	TRUE	2
60	45	90	TRUE	2
90	60	90	TRUE	2
90	75	90	TRUE	2
42	50	90	TRUE	2
42	50	90	TRUE	2
130	85	15	TRUE	3
160	80	20	TRUE	3
180	80	20	TRUE	3
224	78	27	TRUE	5
125	70	25	TRUE	3
203	90	32	TRUE	3
184	88	25	TRUE	3
220	70	25	TRUE	5
170	90	20	TRUE	3
180	100	20	TRUE	3
250	90	15	TRUE	5
230	80	25	TRUE	5
300	100	30	TRUE	5
300	60	35	TRUE	5
260	90	40	TRUE	5
230	100	20	TRUE	3
225	111	38	TRUE	3
270	100	30	TRUE	5
310	80	40	TRUE	5
310	80	35	TRUE	2
390	70	40	TRUE	5
380	100	35	TRUE	5
330	130	50	TRUE	2
390	130	60	TRUE	2
300	400	75	TRUE	2
65	65	85	TRUE	2
180	95	90	TRUE	2
255	100	90	TRUE	2
130	95	225	TRUE	2
200	90	90	TRUE	2
